"date","county_fips","county_name","state_fips","state_name","covid_19_confirmed_cases","covid_19_deaths","social_distancing_total_grade","social_distancing_encounters_grade","social_distancing_travel_distance_grade","daily_state_test","precipitation","temperature","virus_pressure","total_population","female_percent","area","population_density","latitude","longitude","hospital_beds_ratio","ventilator_capacity_ratio","icu_beds_ratio","houses_density","less_than_high_school_diploma","high_school_diploma_only","some_college_or_higher","total_college_population","percent_smokers","percent_diabetes","Religious_congregation_ratio","political_party","airport_distance","passenger_load_ratio","meat_plants","median_household_income","percent_insured","deaths_per_100000","gdp_per_capita","age_0_4","age_5_9","age_10_14","age_15_19","age_20_24","age_25_29","age_30_34","age_35_39","age_40_44","age_45_49","age_50_54","age_55_59","age_60_64","age_65_69","age_70_74","age_75_79","age_80_84","age_85_or_higher","immigrant_student_ratio"
"09/16/20",1003,"Baldwin County",1,"Alabama",11,0,"C","D","D",7584,1003,24.4,12.5,218022,0.515383768610507,1589.78,137.13973,30.72774991,-87.72207058,0.00136683453963361,0.000261441505903074,0.000233921347386961,73.363,9.7,27.6,62.6,1.15569071011182,17.489032597,10.7,53,0,58.5337099093228,0.000655897111300695,2,57588,88.666595533,1081.1,27.75,6,6,7,6,5,6,6,6,7,7,7,7,7,6,4,3,2,2,0.0210483345717405
"09/16/20",1005,"Barbour County",1,"Alabama",3,0,"C-","A","D",7584,305,22.8,5.5,24881,0.472167517382742,884.88,28.1179369,31.868263,-85.3871286,0.00188899160001608,0.00016076524255456,0.0002009565531932,13.5668,27,35.7,37.3,0,21.999984528,17.6,55,0,106.34416145248,0.0119368192596761,2,34382,87.757207543,1254,30.54,6,6,6,6,7,7,7,7,7,8,7,7,7,5,3,2,2,2,0
"09/16/20",1007,"Bibb County",1,"Alabama",1,0,"D-","C","F",7584,10.2,21.5,59.1666666666667,22400,0.4678125,622.58,35.9793119,32.99642064,-87.1251146,0.00803571428571428,0.000178571428571429,0.000178571428571429,14.8399,16.8,47.3,35.9,0,19.114199885,14.5,50,0,71.9900095045141,0.00875,0,46064,89.793747414,1232.1,16.17,6,6,6,7,7,7,7,8,7,8,7,6,6,4,3,2,2,1,0
"09/16/20",1009,"Blount County",1,"Alabama",12,0,"F","D","F",7584,0,20.96,36.8333333333333,57840,0.507261410788382,644.78,89.70501566,33.98210918,-86.56790593,0.0004149377593361,0.000103734439834025,0.000103734439834025,37.8873,19.8,34,46.1,0,19.20867197,17,65,0,49.5289707772271,0.00338865836791148,5,50412,86.639240506,1191.2,14.73,6,7,7,7,5,6,6,7,7,7,7,6,6,5,4,3,2,1,0
"09/16/20",1011,"Bullock County",1,"Alabama",2,0,"B-","A","D",7584,0,22.58,9.2,10138,0.454823436575261,622.81,16.27783754,32.10030533,-85.71265535,0.00532649437758927,0.000493193923850858,0.000493193923850858,7.3088,24.8,39.7,35.6,0,22.894664011,23.7,58,0,67.8662722239489,0.029295719076741,2,29267,88.559623878,1104.8,23.59,7,5,6,7,7,8,7,7,6,8,8,7,6,4,3,3,1,2,0
"09/16/20",1013,"Butler County",1,"Alabama",0,0,"C-","A","D",7584,39.2,24.88,1.5,19680,0.534298780487805,776.83,25.3337281,31.75300095,-86.68057478,0.00309959349593496,0.00040650406504065,0.000355691056910569,12.9848,15.4,43.9,40.7,0,21.765334963,19.2,59,0,66.6192529809453,0.0150914634146341,0,37365,88.813990461,1504.1,28.5,7,6,7,7,6,6,6,6,6,7,7,7,6,5,4,3,2,2,0
"09/16/20",1015,"Calhoun County",1,"Alabama",38,0,"F","F","F",7584,25,22.4,11.6,114277,0.519465859271769,605.87,188.6163698,33.77483727,-85.82630386,0.00217016547511748,0.000201265346482669,0.000262520017151308,88.9432,15.9,32.4,51.7,0.680084356432178,20.612560375,17.5,71,0,88.8460035980674,0.00171513077872188,3,45400,88.070832476,1391.4,34.32,6,6,7,7,8,6,6,6,6,7,7,7,6,5,3,3,2,2,0.0210016013721046
"09/16/20",1017,"Chambers County",1,"Alabama",4,0,"D-","C","F",7584,38.2,21.74,8.2,33615,0.521255391938123,596.53,56.35089602,32.91360079,-85.39072749,0,0,0,28.5367,18.6,38.4,42.9,0,19.392927053,19.9,65,0,116.087052305692,0.00883534136546185,3,39917,88.061923191,1249.4,57.39,6,6,7,7,6,6,6,6,7,7,8,7,7,5,4,3,2,2,0
"09/16/20",1019,"Cherokee County",1,"Alabama",5,0,"D-","C","F",7584,0,22.8,20.4285714285714,26032,0.504609711124769,553.7,47.01462886,34.17805983,-85.60638968,0.00172864167178857,0.000345728334357714,0.000307314074984634,30.0903,19.8,38.3,41.9,0,17.498673785,15.2,48,0,102.190938015983,0.00284265519360787,2,42132,88.827350083,1336.8,19.26,5,6,6,6,5,5,5,6,7,7,8,7,8,6,5,3,2,1,0
"09/16/20",1021,"Chilton County",1,"Alabama",9,0,"F","D","F",7584,5,22.38,12,44153,0.509251919461871,692.85,63.72663636,32.85044126,-86.7173256,0.000792698117908183,0.000158539623581637,0.000135891105927117,28.5646,17.8,44.1,38.2,0,20.188979064,18.6,70,0,68.2313805484558,0.0067266097433923,1,47547,86.240294126,1155.1,19.07,7,7,7,7,6,6,7,7,7,7,7,6,6,5,3,3,2,1,0
"09/16/20",1025,"Clarke County",1,"Alabama",1,0,"C","A","C",7584,511,23.84,2.5,23920,0.526421404682274,1238.47,19.31415375,31.68099859,-87.83548597,0.00250836120401338,0.000459866220735786,0.000418060200668896,10.3418,18.8,43.7,37.5,0.00953177257525084,20.579655316,22.4,79,0,147.813157636649,0.00597826086956522,0,40741,88.073633709,1325.3,32.17,6,7,8,8,5,5,6,6,7,7,8,7,6,5,4,3,2,2,0.00150501672240803
